"ID","GROUP","CHEF_CLUB","NUM_DEAL","LAST_DEAL","ADVANCE_PURCHASE","FARE_L_Y1","FARE_L_Y2","FARE_L_Y3","FARE_L_Y4","FARE_L_Y5","POINTS_L_Y1","POINTS_L_Y2","POINTS_L_Y3","POINTS_L_Y4","POINTS_L_Y5","CALL_FLAG","CREDIT_PROBLEM","RETURN_FLAG","BENEFIT_FLAG","BUYER_FLAG"
45001,5,0,4,20,16,108.3,98.3,85.8,95,78.3,74.2,70.7,80.6,110,62.2,0,1,0,0,0
45002,4,0,5,56.7,30,267.5,266.7,265,264.2,271.7,238.3,257,283.9,260.8,267.3,0,0,0,0,0
45003,5,0,1,100,22,100,94.2,102.5,108.3,111.7,157.1,163,136.3,118.2,120.6,0,0,0,0,0
45004,1,0,8,16.7,19,124.2,120.8,114.2,120.8,120.8,129.7,90.5,90.1,91.8,107.3,0,0,1,0,0
45005,4,0,6,30,29,166.7,167.5,168.3,165,160,148.5,181.4,167.5,163.8,147.9,0,1,0,0,0
45006,3,0,5,30,19,145,142.5,144.2,148.3,143.3,155.2,150,132.2,132.2,139.1,0,0,1,0,0
45007,1,0,5,36.7,22,175,175,175,173.3,175.8,177.2,168.3,152.4,191.9,172.8,0,0,0,0,0
45008,5,0,4,40,18,152.5,155.8,155,154.2,150.8,129.6,157,124,113.8,121.9,0,0,0,0,0
45009,4,0,5,26.7,20,128.3,117.5,122.5,113.3,108.3,104.8,69.7,50.2,85.1,113.2,0,0,0,0,0
45010,1,0,3,46.7,28,134.2,127.5,144.2,146.7,146.7,154.7,121.8,134.7,104.3,132,0,0,0,0,0
45011,3,0,3,36.7,22,102.5,115,115,109.2,104.2,128.8,123.2,113.5,73.5,41.6,0,0,0,0,0
45012,2,0,1,126.7,15,120,119.2,115,125,123.3,141.2,150.3,141.3,148,142.3,0,0,0,0,0
45013,5,0,9,16.7,16,139.2,144.2,154.2,155,137.5,115.1,162.6,160.1,160.8,130,0,0,0,0,0
45014,2,0,4,40,15,134.2,141.7,140.8,152.5,150.8,102.6,110.3,123.2,85.9,148.6,0,1,0,0,0
45015,4,0,2,53.3,24,111.7,114.2,119.2,117.5,105,106.8,87.3,84.2,73.3,74.2,0,0,0,0,0
45016,1,0,2,103.3,23,214.2,205,212.5,209.2,220.8,220.8,227.1,236.9,221.3,224.3,0,0,0,0,0
