"ID","GROUP","CHEF_CLUB","NUM_DEAL","LAST_DEAL","ADVANCE_PURCHASE","FARE_L_Y1","FARE_L_Y2","FARE_L_Y3","FARE_L_Y4","FARE_L_Y5","POINTS_L_Y1","POINTS_L_Y2","POINTS_L_Y3","POINTS_L_Y4","POINTS_L_Y5","CALL_FLAG","CREDIT_PROBLEM","RETURN_FLAG","BENEFIT_FLAG","BUYER_FLAG"
1,1,0,5,23.3,12,111.7,113.3,117.5,119.2,116.7,140.6,121.1,122.6,133.5,138.2,0,1,0,0,0
2,1,0,2,60,19,116.7,120,115,117.5,110.8,92.3,97.9,78.5,59.8,66.5,0,0,0,0,0
3,5,0,2,83.3,20,152.5,149.2,150.8,152.5,161.7,168.5,166.8,182.2,163.4,150.4,0,0,0,0,0
4,3,0,6,16.7,18,126.7,118.3,94.2,81.7,93.3,84.9,73.8,74.6,70.8,74.3,0,0,0,0,0
5,5,0,4,43.3,25,163.3,162.5,165.8,171.7,181.7,166.9,173.8,162.7,124.8,156.8,1,0,0,0,1
6,2,0,6,26.7,23,147.5,148.3,158.3,156.7,155.8,198.4,200.8,166.3,170.3,177.2,0,0,0,0,0
7,2,0,7,20,22,102.5,106.7,119.2,110,115,108.4,81.9,109.8,100.5,137.4,0,0,0,0,0
8,2,0,4,30,20,114.2,110,106.7,118.3,119.2,125,98.4,96.8,147.6,137.9,0,1,0,0,0
9,2,0,4,56.7,25,227.5,230,225.8,210,242.5,287.9,268.5,233.1,243.9,255.5,1,0,0,0,0
10,2,0,4,43.3,28,180.8,175,181.7,173.3,180,274.2,245.9,176.5,188.6,206.8,0,0,0,1,1
11,2,0,2,53.3,15,102.5,101.7,124.2,122.5,139.2,52.2,66.8,107.8,135.3,141.2,0,0,0,0,0
12,5,0,6,36.7,26,212.5,195.8,196.7,221.7,220,232.5,199.7,187.9,188.4,225.5,0,0,0,0,0
13,4,0,6,50,29,258.3,295.8,328.3,353.3,389.2,318.9,324.2,304.2,321.4,325.2,0,0,0,0,0
14,4,0,3,60,17,180.8,181.7,185.8,182.5,177.5,251.2,216.3,236.4,196,195.1,0,0,0,1,1
15,1,0,2,53.3,11,115,106.7,106.7,111.7,115,103.8,131.3,133.6,141.2,101.1,0,0,0,0,0
16,5,0,7,20,24,126.7,130.8,124.2,131.7,140,175.1,188.4,184.8,170.1,139,0,0,0,1,0
17,5,0,0,0,23,141.7,146.7,135,141.7,141.7,118.9,116.6,149,143.1,138.1,0,0,0,0,0
18,3,0,2,136.7,28,270,282.5,267.5,266.7,273.3,266.5,255.5,254.8,235.7,299.8,0,0,0,1,0
19,1,0,8,20,20,142.5,139.2,148.3,145,141.7,121.8,106.8,115.4,111.8,140.8,0,0,0,0,0
20,3,0,2,110,26,223.3,225.8,226.7,219.2,220,200.8,193.4,211.8,235.2,221.3,0,0,0,1,0
21,4,0,4,40,20,150.8,147.5,147.5,135.8,139.2,119,89.5,109.9,121.5,120.3,0,1,0,0,0
22,5,0,5,26.7,14,121.7,128.3,125.8,121.7,116.7,84.8,105.3,71.7,73.2,95.1,0,0,0,0,0
23,3,0,2,76.7,25,165,150.8,154.2,150.8,145.8,93.2,102.1,89,83.4,102.2,0,0,0,0,0
24,3,0,5,30,28,141.7,141.7,137.5,145.8,149.2,153.9,145.4,173.6,161.2,149.8,0,0,0,0,0
25,2,0,1,136.7,19,135.8,128.3,135.8,135,128.3,129.4,118.6,107.9,94.2,111.8,0,0,0,0,1
26,2,0,6,33.3,30,184.2,186.7,199.2,195.8,188.3,194.1,159.4,203.6,216.5,213.9,0,0,0,1,1
27,1,0,6,30,25,182.5,173.3,173.3,178.3,167.5,135.8,122.7,122,120.3,178.5,0,0,0,0,1
28,2,0,6,23.3,21,150,146.7,143.3,150.8,136.7,112,113.8,156.8,160,94.9,0,0,0,0,0
29,2,0,3,63.3,21,170,155,160.8,171.7,180.8,183.6,169.8,157.2,167.7,171.6,0,0,0,0,0
30,2,0,4,33.3,29,145.8,129.2,122.5,130,134.2,163.8,157.8,156.6,124.4,104.3,0,0,1,0,1
31,2,0,4,30,15,122.5,117.5,112.5,126.7,113.3,116.7,109.2,85.8,96.5,117.4,0,0,0,0,0
32,3,0,3,36.7,27,116.7,120,118.3,119.2,105,100.1,102,138.2,128.3,107,0,0,0,0,0
33,1,0,3,36.7,22,110.8,84.2,80,104.2,105,95.8,86.1,127.7,93.2,117.5,0,0,0,0,0
34,5,0,9,0,16,107.5,112.5,110.8,112.5,118.3,140.1,98.3,77.8,137.3,111,0,0,0,0,0
35,4,0,4,30,24,110.8,113.3,114.2,109.2,105,90.6,134.3,128.6,120.3,110.2,0,1,0,0,0
36,5,0,4,53.3,25,202.5,204.2,208.3,210,203.3,193.8,145.5,167.5,180.1,196.5,0,0,0,0,0
37,1,0,4,33.3,25,193.3,125.8,182.5,152.5,185.8,148.8,137.1,170.2,195.1,190.2,0,0,0,0,0
38,3,0,3,53.3,20,133.3,135.8,135,157.5,159.2,208.6,202.1,193.8,204.9,188.1,0,0,0,0,0
39,1,0,5,23.3,12,118.3,114.2,111.7,111.7,105.8,70.3,78.9,74.7,85.9,77.8,0,0,0,0,0
40,1,0,9,16.7,20,135,138.3,145.8,139.2,132.5,166.2,171,138.6,148,154.2,0,0,0,0,0
41,3,0,6,20,25,92.5,103.3,114.2,110,117.5,156.8,157.6,171.7,137.8,134.3,0,0,0,0,0
42,5,0,9,16.7,17,150.8,155.8,147.5,150,154.2,178.2,207.3,177.2,205.2,193.2,0,0,0,1,0
43,3,0,5,40,36,194.2,201.7,212.5,190,209.2,218.1,228.8,218,202.2,201.2,0,0,0,1,0
44,2,0,3,50,14,145.8,144.2,150,145,144.2,112.7,135.1,171.6,155.9,139.8,0,0,1,0,0
45,3,0,6,20,15,113.3,112.5,108.3,116.7,113.3,102.1,113.2,93.3,107.8,118.9,0,0,0,0,0
46,4,1,6,70,25,335,309.2,354.2,412.5,410,368.3,348,318.5,319,364.9,0,0,0,1,0
